"","subtype.list","RawSwipeData.total","SameHitsBothStrands.rem","Kept.total","AllDataRepeats.subtot","HaveMultipleSystems.rem","RepeatTypeFail.rem","InconsistentSystems.rem","PassedSystems.kept","AllHits.total","OneHit.rem","MultipleHits.kept","Data.total","MoreThan5Hits.rem","FiveHitsOrLess.kept","ShortTarget.rem","ShortTargetGenomesRemoved.kept","HasShortArray.rem","DataCorrectingOut.total","Low.BitScore.ALL.rem","BS.SingleHitsA.rem","BS.MultipleHitsA.kept","Low.BitScore.BeyondPPS.rem","BS.SingleHitsB.rem","BS.MultipleHitsB.kept","Has.lowPS.BitScore.rem","No.LowPS.BitScoreHits.kept","Section3.total","HitsInMultipleArrays.rem","HitsInLessThan2Arrays.kept","PPSdistances.total","PPS.Score.In.total","PPSscoreLow.rem","PPSscoresOut.total","DataCleanIn.total","SubtypesWeWant.total","PossibleCRISPR.rem","nonCRISPR.kept","SpacerHitsManyTimes.rem","SpacersOK.kept","TwoSpacersSamePS.rem","PSsOK.kept","DataCleanOut.total","HostRedundancyIn.total","nonIdentHosts.subtot","IdentHosts.subtot","MergedIdentHosts.mrg","IdentHostRepresents.kept","Combined.total","NoSharedPS.subtot","HasSharedPS.subtot","OneSharedPS.subtot","OneSharedPS_nonPPS.rem","OneSharedPS_PPS.kept","ManySharedPS.subtot","multiplePS_PS2above.rem","NonIdent_PPS.PS1_hosts.rem","Ident_PPS.PS1_hosts.subtot","Ident_PPS.PS1.mrg","Ident_PPS.PS1_Represents.Kept","HostRedundancy_Out.total","TargetRedundancy_In.total","AllnonDuplicateData_1.subtot","DupData_1.subtot","Dup_IdentTargets.subtot","Dup_nonIdentTargets.subtot","IdentTargetsMerged.mrg","Ident.Targets.Rep.kept","Current.Duplicated_1.subtot","nonDuplicated_1.kept","AllnonDuplicateData_2.subtot","DupData_2.subtot","nonCloseDistTargets.kept","CloseDistTargets.subtot","CloseTargetsMerged.mrg","CloseTargetsRepresents.kept","TargetDupCloseOut_A.kept","nonCloseDistTargets_B.kept","CloseDistTargets_B.subtot","CloseTargetsMerged_B.mrg","CloseTargetsRepresents_B.kept","TargetDupCloseOut_B.kept","noLongerDup_C.kept","AllnonDuplicateData_3.subtot","DupData_3.subtot","SameTargetQuads.mrg.x","SameTargetQuadsReps.kept","AllnonDuplicateData_4.subtot","StillDupData_4.rem","PreSpacer_DupCheck.total","Pass_SpacerDupCheck.kept","Fail_SpacerDupCheck.subtot","SameTargetQuads.mrg.y","SameTargetQuadsSpacersReps.kept","Pass_SpacerDupCheck_final.total","Fail_SpacerDupCheck_final.rem","TargetFilterOut.total","FinalData.Hits","FinalData.Hits.nonPPS","FinalData.HostTargetPairs"
"15","III-A",2496,9,2487,2487,18,2424,0,45,45,19,26,26,0,26,0,26,0,26,0,0,0,0,0,0,0,26,26,0,26,26,26,0,26,26,26,0,26,0,26,0,26,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","III-B",4422,8,4414,4414,2520,1886,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","III-C",26042,682,25360,25360,3757,18458,2025,1120,1120,1022,98,98,0,98,18,80,3,77,0,0,0,37,36,36,2,2,2,0,2,2,2,0,2,2,2,0,2,0,2,0,2,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,2,0,2,2,1,1
"18","III-C_V",57,0,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","III-D",217,2,215,215,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","IV",2037,2,2035,2035,550,890,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","V",606,2,604,604,172,146,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","V_I-B",199,0,199,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","V_I-C",1028,32,996,996,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","V_I-F",202,0,202,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","III-A$merged_II-C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,5,0,0,0,5,0,5,5,4,1
